"date","counts"
2001-01-01,219
2001-02-01,194
2001-03-01,231
2001-04-01,193
2001-05-01,139
2001-06-01,145
2001-07-01,160
2001-08-01,188
2001-09-01,296
2001-10-01,383
2001-11-01,250
2001-12-01,204
2002-01-01,180
2002-02-01,159
2002-03-01,150
2002-04-01,197
2002-05-01,190
2002-06-01,207
2002-07-01,236
2002-08-01,230
2002-09-01,227
2002-10-01,233
2002-11-01,214
2002-12-01,186
2003-01-01,232
2003-02-01,273
2003-03-01,334
2003-04-01,221
2003-05-01,201
2003-06-01,153
2003-07-01,142
2003-08-01,150
2003-09-01,198
2003-10-01,190
2003-11-01,219
2003-12-01,134
2004-01-01,142
2004-02-01,118
2004-03-01,166
2004-04-01,154
2004-05-01,166
2004-06-01,134
2004-07-01,138
2004-08-01,157
2004-09-01,148
2004-10-01,173
2004-11-01,141
2004-12-01,132
2005-01-01,105
2005-02-01,125
2005-03-01,127
2005-04-01,121
2005-05-01,138
2005-06-01,171
2005-07-01,116
2005-08-01,116
2005-09-01,194
2005-10-01,135
2005-11-01,137
2005-12-01,94
2006-01-01,114
2006-02-01,72
2006-03-01,117
2006-04-01,104
2006-05-01,120
2006-06-01,95
2006-07-01,75
2006-08-01,113
2006-09-01,117
2006-10-01,126
2006-11-01,103
2006-12-01,98
2007-01-01,92
2007-02-01,82
2007-03-01,118
2007-04-01,110
2007-05-01,83
2007-06-01,88
2007-07-01,82
2007-08-01,163
2007-09-01,169
2007-10-01,131
2007-11-01,161
2007-12-01,134
2008-01-01,177
2008-02-01,175
2008-03-01,136
2008-04-01,145
2008-05-01,119
2008-06-01,115
2008-07-01,131
2008-08-01,134
2008-09-01,181
2008-10-01,331
2008-11-01,211
2008-12-01,204
2009-01-01,227
2009-02-01,212
2009-03-01,233
2009-04-01,202
2009-05-01,147
2009-06-01,146
2009-07-01,149
2009-08-01,150
2009-09-01,152
2009-10-01,169
2009-11-01,201
2009-12-01,196
2010-01-01,171
2010-02-01,184
2010-03-01,179
2010-04-01,144
2010-05-01,170
2010-06-01,191
2010-07-01,168
2010-08-01,185
2010-09-01,157
2010-10-01,135
2010-11-01,172
2010-12-01,161
2011-01-01,130
2011-02-01,111
2011-03-01,212
2011-04-01,127
2011-05-01,128
2011-06-01,146
2011-07-01,158
2011-08-01,261
2011-09-01,221
2011-10-01,214
2011-11-01,233
2011-12-01,180
2012-01-01,185
2012-02-01,133
2012-03-01,122
2012-04-01,123
2012-05-01,154
2012-06-01,170
2012-07-01,209
2012-08-01,164
2012-09-01,145
2012-10-01,149
2012-11-01,160
2012-12-01,133
2013-01-01,142
2013-02-01,122
2013-03-01,145
2013-04-01,137
2013-05-01,87
2013-06-01,120
2013-07-01,138
2013-08-01,118
2013-09-01,122
2013-10-01,142
2013-11-01,77
2013-12-01,90
2014-01-01,81
2014-02-01,107
2014-03-01,135
2014-04-01,106
2014-05-01,87
2014-06-01,73
2014-07-01,102
2014-08-01,121
2014-09-01,123
2014-10-01,142
2014-11-01,114
2014-12-01,124
2015-01-01,135
2015-02-01,113
2015-03-01,99
2015-04-01,98
2015-05-01,92
2015-06-01,97
2015-07-01,102
2015-08-01,132
2015-09-01,127
2015-10-01,129
2015-11-01,107
2015-12-01,101
2016-01-01,158
2016-02-01,149
2016-03-01,122
2016-04-01,131
2016-05-01,115
2016-06-01,186
2016-07-01,225
2016-08-01,172
2016-09-01,149
2016-10-01,131
2016-11-01,199
2016-12-01,194
2017-01-01,213
2017-02-01,164
2017-03-01,158
2017-04-01,154
2017-05-01,128
2017-06-01,116
2017-07-01,118
2017-08-01,128
2017-09-01,100
2017-10-01,128
2017-11-01,139
2017-12-01,93
2018-01-01,140
2018-02-01,112
2018-03-01,155
2018-04-01,138
2018-05-01,144
2018-06-01,182
2018-07-01,167
2018-08-01,185
2018-09-01,155
2018-10-01,190
2018-11-01,189
2018-12-01,96
2019-01-01,145
2019-02-01,127
2019-03-01,164
2019-04-01,119
2019-05-01,131
2019-06-01,126
2019-07-01,164
2019-08-01,171
2019-09-01,152
2019-10-01,149
2019-11-01,148
2019-12-01,115
2020-01-01,155
2020-02-01,161
2020-03-01,278
2020-04-01,203
2020-05-01,202
2020-06-01,181
2020-07-01,182
2020-08-01,150
2020-09-01,161
2020-10-01,190
2020-11-01,162
2020-12-01,120
2021-01-01,131
2021-02-01,113
2021-03-01,140
2021-04-01,103
2021-05-01,101
2021-06-01,105
2021-07-01,119
2021-08-01,131
2021-09-01,124
